,CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location,lat,lng
8300,MISDEMEANOR ASSAULT,04/21/2020 04:00:00 AM,20-020193,BATTERY,35X,8600 HILLSIDE ST,Oakland,CA,"8600 HILLSIDE ST
Oakland, CA
(37.757666, -122.164138)",37.7579487,-122.1642768
8301,,05/09/2020 10:55:00 AM,20-023225,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",04X,300 20TH ST,Oakland,CA,"300 20TH ST
Oakland, CA
(37.80816, -122.264712)",37.81736739999999,-122.2942569
8302,,04/24/2020 09:35:00 AM,20-020745,DUI ALCHOL/DRUG W/PRIORS,21X,2500 23RD AVE,Oakland,CA,"2500 23RD AVE
Oakland, CA
(37.791406, -122.228436)",37.7914336,-122.2284086
8303,VANDALISM,04/07/2020 07:30:00 PM,20-908269,VANDALISM,31Y,EDES AV & 98TH AV,Oakland,CA,"EDES AV & 98TH AV
Oakland, CA
(37.736405, -122.183166)",37.7364473,-122.1833183
8304,,05/08/2020 01:48:00 PM,20-023103,GRAND THEFT FROM PERSON,19X,FREDERICK ST&KENNEDY ST,Oakland,CA,"FREDERICK ST&KENNEDY ST
Oakland, CA",37.7784477,-122.2379736
8305,,05/01/2020 09:56:00 AM,20-021911,BURGLARY-AUTO,01X,2ND ST & JACKSON ST,Oakland,CA,"2ND ST & JACKSON ST
Oakland, CA
(37.793734, -122.270404)",37.7937357,-122.270424
8306,,03/15/2020 02:00:00 PM,20-014598,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",06X,2200 SAN PABLO AV,Oakland,CA,"2200 SAN PABLO AV
Oakland, CA
(37.812471, -122.273819)",37.8116026,-122.2735363
8307,FELONY ASSAULT,03/26/2020 08:47:00 PM,20-016345,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,27Y,5800 TRASK ST,Oakland,CA,"5800 TRASK ST
Oakland, CA
(37.770643, -122.193527)",37.77061430000001,-122.1933139
8308,DOMESTIC VIOLENCE,04/20/2020 03:27:00 PM,20-020113,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,17X,1000 E 17TH ST,Oakland,CA,"1000 E 17TH ST
Oakland, CA
(37.793835, -122.246682)",37.7939816,-122.2468357
8309,VANDALISM,04/09/2020 09:30:00 PM,20-908320,VANDALISM,22X,3500 COOLIDGE AV,Oakland,CA,"3500 COOLIDGE AV
Oakland, CA
(37.798318, -122.208898)",37.7984952,-122.2087718
8310,STOLEN VEHICLE,04/22/2020 02:00:00 AM,20-020459,VEHICLE THEFT - AUTO,26Y,800 81ST AV,Oakland,CA,"800 81ST AV
Oakland, CA
(37.750269, -122.191379)",37.7498195,-122.192279
8311,STOLEN VEHICLE,04/11/2020 11:40:00 AM,20-018716,VEHICLE THEFT - AUTO,11X,6500 RAYMOND ST,Oakland,CA,"6500 RAYMOND ST
Oakland, CA
(37.850808, -122.262617)",37.8508796,-122.2624104
8312,,05/09/2020 05:54:00 PM,20-023286,BATTERY,20X,2300 INTERNATIONAL BLVD,Oakland,CA,"2300 INTERNATIONAL BLVD
Oakland, CA
(37.783179, -122.235558)",37.7834368,-122.2353429
8313,GRAND THEFT,04/09/2020 09:35:00 AM,20-908355,GRAND THEFT,26X,400 HIGH ST,Oakland,CA,"400 HIGH ST
Oakland, CA
(37.76593, -122.223338)",37.7653376,-122.2226323
8314,VANDALISM,04/09/2020 03:00:00 AM,20-908343,VANDALISM,13X,5900 BROADWAY,Oakland,CA,"5900 BROADWAY
Oakland, CA
(37.845769, -122.245315)",37.8457654,-122.2453483
8315,,05/05/2020 04:00:00 PM,20-022784,ORAL COPULATION,15X,400 HANOVER AVE,Oakland,CA,"400 HANOVER AVE
Oakland, CA
(37.803112, -122.249025)",37.8030486,-122.2489801
8316,MISDEMEANOR ASSAULT,04/20/2020 05:08:00 AM,20-020017,BATTERY,19X,2000 INTERNATIONAL BLVD,Oakland,CA,"2000 INTERNATIONAL BLVD
Oakland, CA
(37.785819, -122.239982)",37.785788,-122.2396344
8317,BURG - RESIDENTIAL,03/20/2020 01:29:00 AM,20-015371,VEHICLE THEFT - AUTO,23X,900 HIGH ST,Oakland,CA,"900 HIGH ST
Oakland, CA
(37.769944, -122.218028)",37.7694661,-122.2176127
8318,,03/15/2020 02:30:00 PM,20-014599,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,21Y,2300 FRUITVALE AV,Oakland,CA,"2300 FRUITVALE AV
Oakland, CA
(37.785621, -122.222008)",37.78549599999999,-122.221725
8319,STOLEN VEHICLE,04/11/2020 01:00:00 AM,20-018712,VEHICLE THEFT - AUTO,10Y,800 47TH ST,Oakland,CA,"800 47TH ST
Oakland, CA
(37.835377, -122.269547)",37.835404,-122.2696951
8320,BURG - AUTO,02/05/2020 09:00:00 PM,20-904073,BURGLARY-AUTO,12Y,COLLEGE AV & CLIFTON ST,Oakland,CA,"COLLEGE AV & CLIFTON ST
Oakland, CA
(37.837168, -122.251281)",37.8371242,-122.2512808
8321,WEAPONS,02/18/2020 02:23:00 PM,20-009588,MFG/SALE/POSSESS/ETC LARGE CAPACITY MAGAZINE,19X,1700 MARIN WY,Oakland,CA,"1700 MARIN WY
Oakland, CA
(37.788154, -122.242799)",37.788125,-122.2427186
8322,DOMESTIC VIOLENCE,05/09/2020 08:17:00 AM,20-023211,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,18Y,2200 E 21ST ST,Oakland,CA,"2200 E 21ST ST
Oakland, CA
(37.789581, -122.233085)",37.7898101,-122.2328387
8323,VANDALISM,04/30/2020 08:30:00 AM,20-021718,BATTERY,25X,4400 MACARTHUR BLVD,Oakland,CA,"4400 MACARTHUR BLVD
Oakland, CA
(37.786703, -122.19415)",37.7870502,-122.1938847
8324,RECOVERED O/S STOLEN,04/20/2020 04:15:00 AM,20-020013,VEHICLE THEFT - AUTO,23X,1700 35TH AV,Oakland,CA,"1700 35TH AV
Oakland, CA
(37.780847, -122.219993)",37.7807699,-122.2197516
8325,DOMESTIC VIOLENCE,05/01/2020 03:50:00 AM,20-021880,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,02X,900 MANDELA PKWY,Oakland,CA,"900 MANDELA PKWY
Oakland, CA
(37.806731, -122.292808)",37.8068147,-122.2923242
8326,VANDALISM,04/17/2020 07:40:00 PM,20-908875,VANDALISM,29X,3500 62ND AV,Oakland,CA,"3500 62ND AV
Oakland, CA
(37.776107, -122.179099)",37.7760964,-122.1789287
8327,FORGERY & COUNTERFEITING,04/26/2020 12:00:00 AM,20-909318,MAIL/ETC THEFT/ETC,30Y,8000 CREST AV,Oakland,CA,"8000 CREST AV
Oakland, CA
(37.767377, -122.158784)",37.767525,-122.1587055
8328,GRAND THEFT,04/01/2020 12:00:00 AM,20-908295,THEFT,32X,1400 TUCKER ST,Oakland,CA,"1400 TUCKER ST
Oakland, CA
(37.737558, -122.165351)",37.7381732,-122.1645641
8329,STOLEN VEHICLE,02/29/2020 06:30:00 PM,20-011824,VEHICLE THEFT - AUTO,27Y,1600 51ST AV,Oakland,CA,"1600 51ST AV
Oakland, CA
(37.770206, -122.207042)",37.7701949,-122.2067294
8330,MISDEMEANOR ASSAULT,03/30/2020 02:00:00 PM,20-016888,DISTURB THE PEACE,29X,6400 MACARTHUR BLVD,Oakland,CA,"6400 MACARTHUR BLVD
Oakland, CA
(37.77383, -122.179577)",37.7740375,-122.1792613
8331,FELONY ASSAULT,03/18/2020 01:30:00 PM,20-015250,ASSAULT WITH FIREARM ON PERSON,04X,600 W GRAND AV,Oakland,CA,"600 W GRAND AV
Oakland, CA
(37.812425, -122.271619)",37.8125461,-122.2715697
8332,,05/09/2020 11:32:00 AM,20-023235,DISTURB THE PEACE,09X,3600 BROADWAY,Oakland,CA,"3600 BROADWAY
Oakland, CA
(37.823327, -122.259244)",37.8234923,-122.2581218
8333,,05/13/2020 08:00:00 PM,20-023950,THEFT,31X,100 98TH AVE,Oakland,CA,"100 98TH AVE
Oakland, CA
(37.728129, -122.197428)",37.7277454,-122.1983529
8334,STOLEN VEHICLE,04/17/2020 12:00:00 PM,20-019784,VEHICLE THEFT - AUTO,27X,4500 FAIRFAX AV,Oakland,CA,"4500 FAIRFAX AV
Oakland, CA
(37.780757, -122.205838)",37.780778,-122.2058495
8335,,05/07/2020 03:00:00 PM,20-023043,THEFT:MISREPRESENT AS ACCESS CARD HOLDER [OVER $400],24Y,2200 35TH AVENUE,Oakland,CA,"2200 35TH AVENUE
Oakland, CA
(37.785085, -122.21532)",37.7851327,-122.2152656
8336,VANDALISM,04/09/2020 08:00:00 AM,20-908286,VANDALISM,18X,1900 20TH AV,Oakland,CA,"1900 20TH AV
Oakland, CA
(37.789553, -122.236497)",37.7891816,-122.23683
8337,STOLEN VEHICLE,03/17/2020 11:00:00 AM,20-015051,VEHICLE THEFT - AUTO,04X,1900 RASHIDA MUHAMMAD,Oakland,CA,"1900 RASHIDA MUHAMMAD
Oakland, CA
(37.808909, -122.271439)",37.8088573,-122.2711488
8338,,04/25/2020 12:34:00 PM,20-020930,VEHICLE THEFT - AUTO,04X,21S T &HARRISON ST ST,Oakland,CA,"21S T &HARRISON ST ST
Oakland, CA",37.8093468,-122.2630511
8339,DOMESTIC VIOLENCE,03/08/2020 07:24:00 AM,20-015374,VIOLATE COURT ORDER TO PREVENT DOMESTIC VIOLENCE,35Y,00 ELYSIAN FIELDS DR,Oakland,CA,"00 ELYSIAN FIELDS DR
Oakland, CA",37.760551,-122.134674
8340,BURG - AUTO,03/05/2020 06:00:00 PM,20-907378,BURGLARY-AUTO,08X,27TH ST & TELEGRAPH AV,Oakland,CA,"27TH ST & TELEGRAPH AV
Oakland, CA
(37.816241, -122.267896)",37.8162415,-122.2678949
8341,MISDEMEANOR ASSAULT,03/30/2020 12:54:00 PM,20-016870,BATTERY,08X,2300 TELEGRAPH AV,Oakland,CA,"2300 TELEGRAPH AV
Oakland, CA
(37.812608, -122.268796)",37.8126736,-122.2685346
8342,DOMESTIC VIOLENCE,03/19/2020 07:23:00 PM,20-015305,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,35X,8600 HILLSIDE ST,Oakland,CA,"8600 HILLSIDE ST
Oakland, CA
(37.757666, -122.164138)",37.7579487,-122.1642768
8343,STOLEN VEHICLE,03/27/2020 11:00:00 PM,20-016863,VEHICLE THEFT - AUTO,05X,1000 18TH ST,Oakland,CA,"1000 18TH ST
Oakland, CA
(37.811675, -122.282205)",37.8118511,-122.2821806
8344,,04/22/2020 10:57:00 PM,20-020833,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,14X,2300 HARRISON ST,Oakland,CA,"2300 HARRISON ST
Oakland, CA
(37.811434, -122.262063)",37.8114538,-122.2621187
